Kies je product,Kies je product
Welke bedrukking?,Welke bedrukking?
Bestellen,Bestellen
1: Kies je product,1: Kies je product
2: Kies je kleur,2: Kies je kleur
3: Kies je maat en aantal,3: Kies je maat en aantal
Maat:,Maat:
Bezig met verwerken van uw bestelling...,Bezig met verwerken van uw bestelling...
Laden...,Laden...
Voorvertoning,Voorvertoning
Uw keuze,Uw keuze
Totaalprijs,Totaalprijs
Ontwerp wijzigen,Ontwerp wijzigen
In Winkelwagen,In Winkelwagen
Tekst,Tekst
Tekst plaatsen,Tekst plaatsen
1: Je eigen bedrukking,1: Je eigen bedrukking
2: Bedrukking,2: Bedrukking
Bibliotheek,Bibliotheek
Eigen afbeelding,Eigen afbeelding
Eigen tekst,Eigen tekst
Prijs:,Prijs:
incl. BTW,incl. BTW
Ontwerp plaatsen,Ontwerp plaatsen
"U heeft nog geen maat en/of aantal opgegeven, maak u keuze voordat u verder kunt gaan.","U heeft nog geen maat en/of aantal opgegeven, maak u keuze voordat u verder kunt gaan."
Afbeelding laden...,Afbeelding laden...
Andere kant,Andere kant
excl BTW,excl BTW
"Uw huidige ontwerp zal verloren gaan als u een nieuw product kiest, wilt u doorgaan?","Uw huidige ontwerp zal verloren gaan als u een nieuw product kiest, wilt u doorgaan?"
Kies Druktype..,Kies Druktype..
Ontwerp bestellen,Ontwerp bestellen
Product:,Product:
U dient akkoord te gaan met de copyright verklaring.,U dient akkoord te gaan met de copyright verklaring.
Afbeelding uploaden,Afbeelding uploaden
Bezig met uploaden...,Bezig met uploaden...
Upload een afbeelding,Upload een afbeelding
"For some, in particular commercial images or logo's, a license is required to use them for designing your product. When you upload an image this means that we trust you have the required licenses for this. If we are being approached by the legal licensee we will directly refer to you.",Voor sommige en met name commerciele afbeeldingen of logo\'s is een licentie nodig om deze te mogen gebruiken. Wanneer je een afbeelding aanbiedt wordt geacht dat je over de eventueel benodigde licenties beschikt. Als wij om wat voor reden dan ook benaderd worden door de legale licentiehouder zal deze direct naar u worden doorverwezen.
I've read and accept the copyright statement.,Ik begrijp en accepteer de Copyright verklaring.
Uploading your image can take a few seconds.,Het uploaden van een afbeelding kan even duren.
Wij vragen je even geduld voor dit proces.,Wij vragen je even geduld voor dit proces.
Your JPG/JPEG/GIF/PNG image,Uw JPG/JPEG/GIF/PNG afbeelding
"Do you have your image in SVG, EPS, AI, PSD or PDF format? Please upload it here, to prevent extra design costs.","Heeft u uw afbeelding ook in SVG, EPS, AI, PSD of PDF formaat? Upload het dan hier, voor een betere kwaliteit van uw product."
Your SVG/EPS/AI/PSD/PDF image,Uw SVG/EPS/AI/PSD/PDF afbeelding
Product kiezen,Product kiezen
Color:,Lettertype kleur:
Select color:,Lettertype kleur:
Your text:,Tekst:
Place text,Tekst plaatsen
Font:,Lettertype:
Delete,Verwijder
To Front,Naar voren
To Back,Naar achteren
Text:,Tekst:
Align:,Uitlijnen:
Layer,Laag
Add to cart,Toevoegen aan winkelwagentje
Pick a product,Kies een product
Pick a color,Kies een kleur
Category:,Categorie:
Upload image,Upload een afbeelding
Add text,Voeg een tekst toe
Choose an image from the library,Kies een afbeelding
Strassenschild,Straatnaambord
Traditionell 1,Traditioneel 1
Traditionell 2,Traditioneel 2
Traditionell 3,Traditioneel 3
Traditionell 4,Traditioneel 4
Traditionell 5,Traditioneel 5
Zierlich 1,Sierlijk 1
Zierlich 2,Sierlijk 2
Zierlich 3,Sierlijk 3
Zierlich 4,Sierlijk 4
Zierlich 5,Sierlijk 5
Image quality is fine,Afbeelding kwaliteit is goed
Image has medium quality,Afbeelding kwaliteit is gemiddeld
Image has low quality,Afbeelding kwaliteit is laag
Align left,Links uitlijnen
Align right,Rechts uitlijnen
Symbool invoegen,Afbeelding invoegen
Symbolen,Afbeeldingen
Afbeeldingen kunnen in iedere gewenste kleur,Wilt u de kleur zwart veranderen? <br />Klik dan na uw keuze op het kleurenvakje rechtsboven en pas uw kleur aan.
Choose an image from the library,Afbeelding
Save / Add to cart,Opslaan / in winkelwagen
Price:,Uw prijs:
"No image has been uploaded. Are you sure you want to continue?","Aucune image n'a été téléchargée. Es-tu sur de vouloir continuer?"